"Combined_Key","KeyOk","Address","Alt_Name","Beds","City","Country","County","COUNTYFIPS","Helipad","Id","Latitude","Longitude","NAICS_CODE","NAICS_DESC","Name","Objectid","Owner","Population","Source","Sourcedate","ST_FIPS","State","State Name","State_Id","Status","Telephone","Trauma","Ttl_Staff","Type","Val_Date","Val_Method","Website","Zip","Zip4"
"Valdez-Cordova, Alaska, US",,"602 Chase Ave.",,"23","Cordova","USA","Valdez-Cordova","02261","Y","0002199574","60.541254774","-145.750649147","622110","General Medical And Surgical Hospitals","Alaska","6565","Government - Local","23","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 424-8000","NOT DESIGNATED",,"CRITICAL ACCESS","2013-10-28T00:00:00.000Z","IMAGERY","http://cdvcmc.com/","99574",
"Valdez-Cordova, Alaska, US",,"187 Glenn Hwy, Po Box 5",,,"Glennallen","USA","Valdez-Cordova","02261","N","0060399588","62.108932","-145.540928","622110","General Medical And Surgical Hospitals","Alaska","3796",,,"http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 822-3203",,,"GENERAL ACUTE CARE","2019-04-16T00:00:00.000Z","IMAGERY/OTHER","http://www.crossroadmc.org/","99588",
"North Slope, Alaska, US",,"1296 Agvik Street",,,"Barrow","USA","North Slope","02185","N","0060599723","71.29284714","-156.778767705","622110","General Medical And Surgical Hospitals","Alaska","1563",,,"http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 852-9248","LEVEL IV",,"CRITICAL ACCESS","2014-02-13T00:00:00.000Z","IMAGERY/OTHER","www.arcticslope.org","99723",
"Dillingham, Alaska, US",,"6000 Kanakanak Road",,"14","Dillingham","USA","Dillingham","02070","Y","0001199576","59.0004747610001","-158.536312298","622110","General Medical And Surgical Hospitals","Alaska","5331","Non-Profit","14","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 842-5201","LEVEL IV",,"CRITICAL ACCESS","2014-03-13T00:00:00.000Z","IMAGERY","www.bbahc.org","99576",
"Petersburg, Alaska, US",,"103 Fram St.",,"27","Petersburg","USA","Petersburg","02280","N","0002599833","56.8128840750001","-132.955205062","622110","General Medical And Surgical Hospitals","Alaska","7246","Government - Local","27","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 772-4291","LEVEL IV",,"GENERAL ACUTE CARE","2013-10-28T00:00:00.000Z","IMAGERY","http://www.pmc-health.com/","99833",
"Anchorage, Alaska, US",,"1201 N Muldoon Rd",,,"Anchorage","USA","Anchorage","02020","Y","0001099504","61.2327880230001","-149.744530504","622110","General Medical And Surgical Hospitals","Alaska","7443","Government - Federal",,"https://www.va.gov/directory/guide/allstate.asp","2018-09-26T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 257-4700",,,"MILITARY","2015-05-13T00:00:00.000Z","IMAGERY/OTHER","http://www.alaska.va.gov/","99504",
"Sitka, Alaska, US",,"209 Moller Avenue",,"27","Sitka","USA","Sitka","02220","N","0001899835","57.0597613310001","-135.346935033","622110","General Medical And Surgical Hospitals","Alaska","7245","Government - Local","27","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 747-3241","LEVEL IV",,"GENERAL ACUTE CARE","2013-10-28T00:00:00.000Z","IMAGERY","www.sitkahospital.org","99835",
"Fairbanks North Star, Alaska, US",,"2630 Central Avenue, Suite 1M07",,,"Eielson Afb","USA","Fairbanks North Star","02090","N","0060099702","64.678406705","-147.092624534","622110","General Medical And Surgical Hospitals","Alaska","4246","Government - Federal",,"http://www.tricare.mil/mtf","2019-04-02T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 377-1847",,,"MILITARY","2014-02-13T00:00:00.000Z","IMAGERY/OTHER",,"99702","2397"
"Bethel, Alaska, US",,"700 Chief Eddie Hoffman Highway",,"37","Bethel","USA","Bethel","02050","N","0002099559","60.7883423500001","-161.784612775","622110","General Medical And Surgical Hospitals","Alaska","3754","Non-Profit","37","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 543-6300","LEVEL IV",,"CRITICAL ACCESS","2014-02-10T00:00:00.000Z","IMAGERY","www.ykhc.org","99559",
"Jefferson, Alabama, US",,"2010 Brookwood Medical Center Drive",,"607","Birmingham","USA","Jefferson","01073","Y","0000535259","33.463730942","-86.776253389","622110","General Medical And Surgical Hospitals","Alabama","1274","Proprietary","607","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H3721","OPEN","(205) 877-1000","LEVEL III",,"GENERAL ACUTE CARE","2014-03-13T00:00:00.000Z","IMAGERY/OTHER","http://www.bwmc.com","35259",
"Shelby, Alabama, US",,"50 Medical Park East Drive",,"45","Birmingham","USA","Shelby","01117","N","0009235261","33.4149192100001","-86.6860220629999","622310","Specialty (Except Psychiatric And Substance Abuse) Hospitals","Alabama","1276","Proprietary","45","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H3723","OPEN","(205) 838-5100",,,"LONG TERM CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.nolandhealth.com","35261",
"Jefferson, Alabama, US",,"800 Montclair Road",,"38","Birmingham","USA","Jefferson","01073","Y","0008535213","33.4641039370001","-86.777332621","622110","General Medical And Surgical Hospitals","Alabama","1277","Proprietary","38","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H3722","OPEN","(205) 599-4595",,,"GENERAL ACUTE CARE","2014-03-12T00:00:00.000Z","IMAGERY/OTHER","http://www.selectspecialtyhospitals.com/company/locations/birmingh am.aspx","35213",
"Jefferson, Alabama, US",,"1600 Seventh Avenue, South",,"332","Birmingham","USA","Jefferson","01073","Y","0000735233","33.504048154","-86.8051591399999","622110","Children's Hospitals, General","Alabama","1275","Non-Profit","332","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H3704","OPEN","(205) 638-9100","LEVEL I",,"CHILDREN","2014-03-12T00:00:00.000Z","IMAGERY/OTHER","http://www.childrensal.org","35233",
"Jefferson, Alabama, US",,"700 S 19Th St S",,,"Birmingham","USA","Jefferson","01073","N","0001335233","33.5044482610001","-86.8013461209999","622110","General Medical And Surgical Hospitals","Alabama","1273","Government - Federal",,"https://www.va.gov/directory/guide/allstate.asp","2018-09-26T00:00:00.000Z","01","AL","Alabama","H3724","OPEN","(205) 933-8101",,,"MILITARY","2015-05-13T00:00:00.000Z","IMAGERY/OTHER","http://www.birmingham.va.gov/","35233",
"Houston, Alabama, US",,"4370 West Main Street",,"235","Dothan","USA","Houston","01069","Y","0001636302","31.237429987","-85.45704246","622110","General Medical And Surgical Hospitals","Alabama","1868","Proprietary","235","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H3501","OPEN","(334) 793-5000","LEVEL III",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.flowershospital.com","36302",
"DeKalb, Alabama, US",,"200 Medical Center Drive",,"134","Fort Payne","USA","DeKalb","01049","Y","0004135968","34.4412798390001","-85.756218367","622110","General Medical And Surgical Hospitals","Alabama","1869","Proprietary","134","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H2501","OPEN","(256) 845-3150","LEVEL III",,"GENERAL ACUTE CARE","2014-03-12T00:00:00.000Z","IMAGERY/OTHER","http://www.dekalbregional.com","35968","1608"
"Etowah, Alabama, US",,"801 Goodyear Avenue",,"44","Gadsden","USA","Etowah","01055","Y","0005935903","34.0067412230001","-85.968488438","622310","Rehabilitation Hospitals (Except Alcoholism, Drug Addiction)","Alabama","1867","Proprietary","44","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H2804","OPEN","(256) 439-5000",,,"REHABILITATION","2013-09-06T00:00:00.000Z","IMAGERY/OTHER","http://www.healthsouthgadsden.com/","35903",
"Morgan, Alabama, US",,"1874 Beltline Road, S.W.",,"108","Decatur","USA","Morgan","01103","N","0001035601","34.5768967860001","-87.0158086599999","622110","General Medical And Surgical Hospitals","Alabama","1866","Proprietary","108","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","01-0054","OPEN","(256) 350-2211",,,"GENERAL ACUTE CARE","2013-10-02T00:00:00.000Z","IMAGERY/OTHER","http://www.decaturgeneral.org/","35601",
"Montgomery, Alabama, US",,"215 Perry Hill Rd",,,"Montgomery","USA","Montgomery","01101","N","0001436109","32.3769911360001","-86.2436852179999","622110","General Medical And Surgical Hospitals","Alabama","1865","Government - Federal",,"https://www.va.gov/directory/guide/allstate.asp","2018-09-26T00:00:00.000Z","01","AL","Alabama","H5110","OPEN","(334) 272-4670",,,"MILITARY","2015-05-13T00:00:00.000Z","IMAGERY/OTHER","http://www.centralalabama.va.gov/","36109",
"Marshall, Alabama, US",,"8000 Alabama Highway 69",,"90","Guntersville","USA","Marshall","01095","Y","0007335976","34.3649133480001","-86.421351527","622110","General Medical And Surgical Hospitals","Alabama","1864","Government - District/Authority","90","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H4804","OPEN","(256) 894-6712","LEVEL III",,"GENERAL ACUTE CARE","2013-10-02T00:00:00.000Z","IMAGERY/OTHER","http://www.mmcenters.com","35976",
"Jefferson, Alabama, US",,"995 Ninth Avenue Southwest",,"310","Bessemer","USA","Jefferson","01073","Y","0005435021","33.3734044770001","-86.993289749","622110","General Medical And Surgical Hospitals","Alabama","1863","Government - District/Authority","310","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","01-0114","OPEN","(205) 481-7118","LEVEL III",,"GENERAL ACUTE CARE","2013-09-05T00:00:00.000Z","IMAGERY/OTHER","http://www.medicalwesthospital.org","35021",
"Limestone, Alabama, US",,"700 West Market Street",,"71","Athens","USA","Limestone","01083","N","0001535611","34.8041639300001","-86.978407208","622110","General Medical And Surgical Hospitals","Alabama","1272","Proprietary","71","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H4201","OPEN","(256) 233-9292","LEVEL III",,"GENERAL ACUTE CARE","2013-10-02T00:00:00.000Z","IMAGERY/OTHER","http://www.athenslimestonehospital.com","35611",
"Tallapoosa, Alabama, US",,"3316 Highway 280",,"81","Alexander City","USA","Tallapoosa","01123","Y","0010435010","32.9302132720001","-85.969566148","622110","General Medical And Surgical Hospitals","Alabama","1870","Non-Profit","81","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H6203","OPEN","(256) 329-7146","LEVEL III",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.russellmedcenter.com/index.aspx","35010",
"Barbour, Alabama, US",,"820 West Washington Street",,"74","Eufaula","USA","Barbour","01005","Y","0005136027","31.8886450800001","-85.156405419","622110","General Medical And Surgical Hospitals","Alabama","916","Government - District/Authority","74","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H0301","OPEN","(334) 688-7271","LEVEL III",,"GENERAL ACUTE CARE","2013-09-10T00:00:00.000Z","IMAGERY/OTHER","http://www.medctrbarbour.org","36027",
"Calhoun, Alabama, US",,"301 East 18Th Street",,"125","Anniston","USA","Calhoun","01015","N","0011336201","33.668235903","-85.8237127259999","622110","General Medical And Surgical Hospitals","Alabama","2295","Proprietary","125","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H0803","OPEN","(256) 235-8900","LEVEL III",,"GENERAL ACUTE CARE","2013-09-10T00:00:00.000Z","IMAGERY/OTHER","http://www.stringfellowhealth.com","36201",
"Baldwin, Alabama, US",,"1613 North Mckenzie Street",,"112","Foley","USA","Baldwin","01003","Y","0008636535","30.425835684","-87.684685647","622110","General Medical And Surgical Hospitals","Alabama","7516","Proprietary","112","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H0202","OPEN","(251) 949-3400","LEVEL III",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://www.southbaldwinrmc.com","36535",
"Baldwin, Alabama, US",,"7400 Roper Lane",,"66","Daphne","USA","Baldwin","01003","N","0004336526","30.635289146","-87.895139097","622210","Psychiatric And Substance Abuse Hospitals","Alabama","7515","Proprietary","66","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H4912","OPEN","(251) 450-5901",,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY","http://www.altapointe.org/eastpointe.php","36526",
"Cherokee, Alabama, US",,"400 Northwood Drive",,"60","Centre","USA","Cherokee","01019","Y","0002735960","34.161458302","-85.6510887759999","622110","General Medical And Surgical Hospitals","Alabama","7514","Proprietary","60","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H1001","OPEN","(256) 927-5531",,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.cherokeemedicalcenter.com","35960",
"Tallapoosa, Alabama, US",,"201 Mariarden Road",,"46","Dadeville","USA","Tallapoosa","01123","Y","0006936853","32.8185985690001","-85.7411399059999","622110","General Medical And Surgical Hospitals","Alabama","7513","Proprietary","46","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H6202","OPEN","(256) 827-0800",,,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.lakemartincommunityhospital.com","36853",
"Baldwin, Alabama, US",,"750 Morphy Avenue",,"150","Fairhope","USA","Baldwin","01003","N","0011536532","30.5188790280001","-87.8894474369999","622110","General Medical And Surgical Hospitals","Alabama","7512","Non-Profit","150","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H0203","OPEN","(251) 279-1501","LEVEL III",,"GENERAL ACUTE CARE","2013-09-10T00:00:00.000Z","IMAGERY/OTHER","http://www.thomashospital.com","36532",
"Crenshaw, Alabama, US",,"150 Hospital Drive",,"28","Luverne","USA","Crenshaw","01041","Y","0001836049","31.694588547","-86.26319151","622210","Psychiatric And Substance Abuse Hospitals","Alabama","7511","Proprietary","28","http://dph1.adph.state.al.us/FacilitiesDirectory","2018-08-09T00:00:00.000Z","01","AL","Alabama","H2102","OPEN","(334) 213-0504",,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://beaconchildrenshospital.com/","36049",
